2009,1990,369,425,421,170,222,131,431,363,306,104,225
2010,1250,584,22,10,28,77,662,222,44,10,11,88,66
2011,2250,261,390,215,414,309,292,159,109,335,175,340
2012,2655,74,101,100,65,232,284,140,145,51,398,292
2013,3000,183,295,310,363,289,377,7,25,85,219,97
2014,2025,126,38,213,169,378,43,214,31,373,74,353
2015,3250,261,390,215,414,309,292,159,109,335,175,340
2016,2500,7,238,23,463,72,418,496,193,408,407,323
2017,2900,23,357,225,241,229,112,259,345,91,133,172
2018,2550,208,261,26,32,155,351,388,182,493,110,123
2019,2025,126,38,213,169,378,43,214,31,373,74,353
2020,350,2611,390,215,4104,309,292,159,109,335,175,340
