2009,220,156,89,95,105,345,101,345,101,76,66,123,77
2010,1250,584,22,10,28,77,662,222,44,10,11,88,66
2011,2000,420,247,424,282,297,15,222,144,483,156,230
2012,2655,74,101,100,65,232,284,140,145,51,398,292
2013,1990,369,425,421,170,222,131,431,363,306,104,225
2014,2025,126,38,213,169,378,43,214,31,373,74,353
2015,2200,206,243,192,79,69,331,382,83,350,270,288
2016,2500,7,238,23,463,72,418,496,193,408,407,323
2017,2900,23,357,225,241,229,112,259,345,91,133,172
2018,2550,208,261,26,32,155,351,388,182,493,110,123
2019,3000,183,295,310,363,289,377,7,25,85,219,97
2020,3250,261,390,215,414,309,292,159,109,335,175,340
